"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"127",2136127632,2,2,2015-07-13,NA,NA
"128",2151054057,5,5,2014-12-19,NA,NA
"129",2158215982,4,4,2015-08-14,NA,NA
"130",2172723080,3,2,2015-07-21,NA,NA
"131",2172723080,3,3,2015-08-15,NA,NA
"132",2174427212,5,5,2015-08-03,NA,NA
"133",2182911230,1,1,2015-06-29,NA,NA
"134",2191396226,4,4,2015-05-23,NA,NA
"135",2201817874,2,2,2015-06-23,NA,NA
"136",2235447216,2,2,2015-08-07,NA,NA
"137",2246622383,2,2,2015-08-04,NA,NA
"138",2257223953,6,6,2015-08-03,NA,NA
"139",2258471198,6,6,2015-08-14,NA,NA
"140",2269998618,3,3,2015-08-02,NA,NA
"141",2278919539,1,1,2014-10-10,NA,NA
"142",2283557917,7,7,2014-09-25,NA,NA
"143",2300851247,2,2,2015-07-15,NA,NA
"144",2320175519,6,6,2015-08-17,NA,NA
"145",2327560619,3,3,2015-02-23,NA,NA
"146",2358807840,1,1,2014-06-17,NA,NA
"147",2372935146,6,6,2015-06-13,NA,NA
"148",2373167024,2,2,2015-07-01,NA,NA
"149",2381042959,15,15,2015-07-08,NA,NA
"150",2398603694,3,3,2015-06-13,NA,NA
"151",2412688377,1,1,2015-06-20,NA,NA
"152",2436738636,1,1,2015-05-25,NA,NA
"153",2451912502,1,1,2015-06-17,NA,NA
"154",2455988976,8,8,2015-08-12,NA,NA
"155",2487119472,4,4,2015-06-04,NA,NA
"156",2515000128,4,4,2014-11-04,NA,NA
"157",2524200246,5,5,2014-10-29,NA,NA
"158",2528750026,6,6,2014-11-26,NA,NA
"159",2534163140,3,3,2015-08-19,NA,NA
"160",2535099359,1,1,2014-05-16,NA,NA
"161",2535886983,2,2,2015-07-27,NA,NA
"162",2552675755,19,19,2015-07-19,NA,NA
"163",2562664921,3,3,2015-05-03,NA,NA
"164",2567699254,6,6,2015-07-28,NA,NA
"165",2571797067,3,3,2015-08-17,NA,NA
"166",2583567580,2,2,2015-08-03,NA,NA
"167",2606114764,4,4,2015-08-16,NA,NA
"168",2609792976,1,1,2015-01-15,NA,NA
"169",2610695629,5,5,2015-07-10,NA,NA
"170",2612671805,1,1,2014-10-24,NA,NA
"171",2614224686,1,1,2015-07-26,NA,NA
"172",2623733104,10,10,2015-08-18,NA,NA
"173",2636722159,4,4,2015-08-09,NA,NA
"174",2647495124,1,1,2015-06-27,NA,NA
"175",2648460353,7,7,2015-07-01,NA,NA
"176",2662659101,1,1,2014-08-13,NA,NA
"177",2668523412,1,1,2014-07-06,NA,NA
"178",2669649960,1,1,2014-05-27,NA,NA
"179",2673538543,14,14,2015-05-01,NA,NA
"180",2683538279,14,13,2015-07-31,NA,NA
"181",2683538279,14,14,2015-08-14,NA,NA
"182",2693128770,1,1,2014-10-09,NA,NA
"183",2696051892,2,2,2015-08-02,NA,NA
"184",2704294846,3,3,2015-08-18,NA,NA
"185",2724136679,4,4,2015-04-24,NA,NA
"186",2736962869,4,4,2015-08-14,NA,NA
"187",2746795632,6,6,2015-08-17,NA,NA
"188",2751143085,4,4,2015-05-10,NA,NA
"189",2764011037,1,1,2015-03-23,NA,NA
"190",2772007373,1,1,2015-07-27,NA,NA
"191",2772992716,1,1,2015-06-22,NA,NA
"192",2776111859,4,4,2015-08-09,NA,NA
"193",2795350446,2,2,2015-02-25,NA,NA
"194",2830334836,18,18,2015-08-04,NA,NA
"195",2847751420,1,1,2015-07-27,NA,NA
"196",2876398156,1,1,2014-11-06,NA,NA
"197",2876643470,1,1,2015-01-29,NA,NA
"198",2893571939,5,5,2015-08-15,NA,NA
"199",2894538443,3,3,2015-08-02,NA,NA
"200",2901782279,6,6,2015-08-05,NA,NA
"201",2916310278,3,3,2015-08-13,NA,NA
"202",2916523599,2,2,2014-10-09,NA,NA
"203",2954902920,1,1,2015-05-25,NA,NA
"204",2956620293,1,1,2015-05-26,NA,NA
"205",2972009047,2,2,2015-08-16,NA,NA
"206",2974664625,3,3,2015-06-29,NA,NA
"207",2974671365,4,4,2015-07-22,NA,NA
"208",2990471607,2,2,2015-08-17,NA,NA
"209",2990883566,1,1,2014-12-29,NA,NA
"210",3006045400,1,1,2015-06-13,NA,NA
"211",3030876671,1,1,2015-06-21,NA,NA
"212",3054378668,5,5,2015-07-28,NA,NA
"213",3061012163,2,2,2015-08-05,NA,NA
"214",3075741637,4,4,2015-08-13,NA,NA
"215",3079511469,1,1,2015-04-26,NA,NA
"216",3080908054,7,7,2015-08-15,NA,NA
"217",3082010991,5,5,2015-07-21,NA,NA
"218",3096445519,2,2,2015-07-18,NA,NA
"219",3107893674,6,6,2015-07-24,NA,NA
"220",3110924673,1,1,2014-09-23,NA,NA
"221",3152634654,2,2,2015-08-07,NA,NA
"222",3188570699,4,4,2015-05-27,NA,NA
"223",3200903086,1,1,2015-04-30,NA,NA
"224",3201754709,8,8,2015-07-02,NA,NA
"225",3206224066,1,1,2014-07-30,NA,NA
"226",3219677874,1,1,2014-09-07,NA,NA
"227",3252413480,12,12,2015-08-09,NA,NA
"228",3260671459,1,1,2015-03-20,NA,NA
"229",3263728602,3,3,2015-05-21,NA,NA
"230",3276893093,5,5,2015-08-03,NA,NA
"231",3278293306,1,1,2014-12-05,NA,NA
"232",3282108906,5,5,2015-08-08,NA,NA
"233",3294533408,33,33,2015-08-01,NA,NA
"234",3307407390,1,1,2015-02-09,NA,NA
"235",3321063881,3,3,2015-07-20,NA,NA
"236",3331565180,3,3,2015-06-25,NA,NA
"237",3335172180,3,3,2015-06-29,NA,NA
"238",3337427873,2,2,2015-07-29,NA,NA
"239",3341030922,3,3,2015-08-17,NA,NA
"240",3342477379,19,19,2015-08-06,NA,NA
"241",3379597805,3,3,2015-08-18,NA,NA
"242",3380009999,2,2,2015-08-03,NA,NA
"243",3381094541,3,3,2015-08-15,NA,NA
"244",3390119816,4,4,2015-08-09,NA,NA
"245",3391915571,6,6,2015-07-31,NA,NA
"246",3394363896,1,1,2015-02-19,NA,NA
"247",3401108129,1,1,2014-12-24,NA,NA
"248",3413480258,1,1,2015-02-18,NA,NA
"249",3418297468,1,1,2015-07-05,NA,NA
"250",3419190754,2,2,2015-06-29,NA,NA
"251",3422259391,3,3,2014-07-03,NA,NA
"252",3427309387,3,3,2015-05-19,NA,NA
"253",3431150888,8,8,2015-08-06,NA,NA
"254",3435646267,6,6,2015-03-23,NA,NA
"255",3449728273,5,5,2015-08-15,NA,NA
"256",3449899345,3,3,2015-07-24,NA,NA
"257",3460588992,3,3,2015-05-10,NA,NA
"258",3480756825,1,1,2014-11-18,NA,NA
"259",3483024126,2,2,2015-08-12,NA,NA
"260",3517910470,1,1,2015-05-22,NA,NA
"261",3519636844,2,2,2015-08-15,NA,NA
"262",3521134186,4,4,2015-04-22,NA,NA
"263",3523225738,2,2,2015-02-05,NA,NA
"264",3525069691,1,1,2015-02-27,NA,NA
"265",3535424654,1,1,2015-03-26,NA,NA
"266",3537152988,1,1,2015-07-07,NA,NA
"267",3540597152,1,1,2015-07-10,NA,NA
"268",3555490492,1,1,2015-01-28,NA,NA
"269",3561640239,1,1,2015-05-06,NA,NA
"270",3565083094,1,1,2014-08-29,NA,NA
"271",3567588210,3,3,2015-06-13,NA,NA
"272",3576021824,2,2,2015-08-17,NA,NA
"273",3577835738,1,1,2014-08-15,NA,NA
"274",3584380224,3,3,2014-11-26,NA,NA
"275",3585535472,2,2,2014-06-03,NA,NA
"276",3596771176,2,2,2015-06-28,NA,NA
"277",3601132624,2,2,2015-07-01,NA,NA
"278",3602567513,8,8,2015-08-02,NA,NA
"279",3603689368,11,11,2015-08-11,NA,NA
"280",3620626456,1,1,2014-05-27,NA,NA
"281",3624329372,1,1,2014-08-29,NA,NA
